"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58512;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60632;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56286;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71338;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6201;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50244;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,4505;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,67098;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";1,2614;"Grand";"Grand"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,49608;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,48018;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,51516;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64978;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59678;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,68158;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61692;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55862;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,43354;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,44414;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,39114;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63494;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66674;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,76108;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5353;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53636;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66568;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,46852;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61374;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52258;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6572;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66568;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57982;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,583;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56498;"Petit";"Petit"
